Grapheme	IPA	Frequency
+	?+	105
<p>̃h	pʰ	11
<p>̃hw	pʰ w	1
^	NULL	12
^f	f	17
^h	h	54
^h̃	h̃	4
^j	j	19
^k	k	29
^kʰ	kʰ	16
^l	l	45
^m	m	41
^n	n	43
^p	p	24
^pʰ	pʰ	13
^q	q	20
^qʰ	qʰ	3
^s	s	17
^t	t	53
^ts	ts	17
^tsʰ	tsʰ	1
^tʰ	tʰ	1
^v	v	24
^z	z	6
^ŋ	ŋ	8
^ȵ	ȵ	18
^ȶ	ȶ	17
^ɕ	ɕ	7
^ɣ	ɣ	14
^ʁ	ʁ	2
^ʔ	ʔ	14
^ᵐb	ⁿb	7
^ⁿd	ⁿd	40
a	a	181
ai	ai	28
au	au	23
aː	aː	56
aːi	aːi	17
aːu	aːu	25
d	d	3
e	e	31
f	f	3
h	h	5
i	i	77
ie	i/j e	29
iu	i/j u	12
iə	i/j ə	6
j	j	86
juə	ju/ɥ ə	1
k	k	49
kʰ	kʰ	2
l	l	10
m	m	74
mb	ⁿb	2
n	n	103
nd	ⁿd	1
o	o	54
oi	oi	3
p	p	23
q	q	3
s	s	2
t	t	56
ts	ts	3
tsʰ	tsʰ	2
tʰ	tʰ	1
u	u	79
ui	ui	13
uə	u/w ə	16
v	v	4
²	₂/⁴²	9
²$	₂/⁴²	69
³	₃/³³	28
³$	₃/³³	89
¹	₁/²¹	18
¹$	₁/²¹	166
ŋ	ŋ	76
ȵ	ȵ	3
ȶ	ȶ	2
ɕ	ɕ	4
ə	ə	27
əː	əː	2
ɣ	ɣ	2
ɯə	ɯ/w ə	9
ɿ	ɿ	1
ʁ	ʁ	1
ʔ	ʔ	4
ẽ	ẽ	1
⁰	₀/³	3
⁴	₄/⁴⁵³	23
⁴$	₄/⁴⁵³	46
⁵	₅/²⁴	11
⁵$	₅/²⁴	82
⁶	₆/³⁴	10
⁶$	₆/³⁴	34
⁷	₇/⁴⁵	2
⁷$	₇/⁴⁵	75
⁸	₈/³²	1
⁸$	₈/³²	25
ⁿ	NULL	5
