Grapheme	IPA	Frequency
+	?+	59
^<p>̥	NULL	1
^f	f	23
^h	h	54
^j	j	11
^k	k	16
^kw	k w	5
^kʰ	kʰ	7
^kʰw	kʰ w	1
^l	l	53
^lw	l w	3
^m	m	22
^m̥	m̥	8
^n	n	19
^n̥	n̥	7
^p	p	28
^pʰ	pʰ	11
^q	q	24
^qʰ	qʰ	4
^s	s	19
^t	t	48
^ts	ts	12
^tʰ	tʰ	4
^v	v	15
^z	z	5
^ŋ	ŋ	6
^ŋw	ŋ w	1
^ŋ̊	ŋ̊	2
^ȵ	ȵ	7
^ȵ̥	ȵ̥	1
^ȶ	ȶ	21
^ɕ	ɕ	10
^ɣ	ɣ	16
^ʁ	ʁ	5
^ʔ	ʔ	31
^ʔd	ˀd	1
^ʔm	ˀm	8
^ʔn	ˀn	16
^ʔw	ʔ w	2
^ʔŋ	ˀŋ	2
^ʔŋwa	ˀŋ w a	1
^ʔŋwat	ˀŋ w a t	1
^ʔȵ	ˀȵ	6
^ᵐb	ⁿb	18
^ⁿd	ⁿd	35
^ⁿdw	ⁿd w	1
a	a	163
ai	ai	21
au	au	12
aː	aː	101
aːi	aːi	19
aːu	aːu	20
d	d	2
dw	d w	1
e	e	42
eu	eu	3
eːu	eːu	3
f	f	2
h	h	7
i	i	56
iu	i/j u	7
j	j	126
k	k	63
kʰ	kʰ	2
l	l	7
m	m	66
mb	ⁿb	4
n	n	100
n̥	n̥	2
o	o	48
oi	oi	2
p	p	25
q	q	2
s	s	1
t	t	48
u	u	84
ui	ui	14
uː	uː	6
v	v	1
w	w	1
z	z	1
²	₂/⁴¹	5
²$	₂/⁴¹	59
³	₃/³³	15
³$	₃/³³	94
¹	₁/¹²	13
¹$	₁/¹²	161
ĩ	ĩ	1
ŋ	ŋ	71
ȵ	ȵ	1
ɕ	ɕ	3
ə	ə	44
əi	əi	1
ʁ	ʁ	1
ʔm	ˀm	2
ʔȵ	ˀȵ	2
ᵐb	ⁿb	1
ẽ	ẽ	1
⁰	⁰/³	2
⁴	₄/⁵³	9
⁴$	₄/⁵³	42
⁵	₅/²³	2
⁵$	₅/²³	81
⁶	⁶/⁴⁵	2
⁶$	⁶/⁴⁵	34
⁷	₇/⁴⁵	6
⁷$	₇/⁴⁵	88
⁸	₈/⁴⁴	5
⁸$	₈/⁴⁴	32
ⁿ	NULL	5
