Grapheme	IPA	Frequency
+	?+	69
^<p>̥	NULL	1
^f	f	20
^h	h	42
^j	j	11
^k	k	19
^kw	k w	5
^kʰ	kʰ	9
^l	l	58
^m	m	27
^m̥	m̥	8
^n	n	20
^n̥	n̥	6
^p	p	26
^pʰ	pʰ	12
^q	q	15
^qʰ	qʰ	4
^s	s	23
^t	t	48
^ts	ts	19
^tsʰ	tsʰ	1
^tʰ	tʰ	5
^v	v	16
^z	z	6
^ŋ	ŋ	7
^ŋw	ŋ w	1
^ŋ̊	ŋ̊	2
^ȵ	ȵ	5
^ȵ̥	ȵ̥	1
^ȶ	ȶ	20
^ȶʰ	ȶʰ	2
^ɕ	ɕ	12
^ɣ	ɣ	8
^ʁ	ʁ	4
^ʔ	ʔ	33
^ʔb	ˀb	13
^ʔd	ˀd	22
^ʔm	ˀm	10
^ʔn	ˀn	14
^ʔw	ʔ w	2
^ʔŋ	ˀŋ	2
^ʔŋwa	ˀŋ w a	1
^ʔŋwat	ˀŋ w a t	1
^ʔȵ	ˀȵ	5
^ʔɣ	ˀɣ	5
^ᵐb	ⁿb	3
^ⁿd	ⁿd	18
a	a	134
ai	ai	21
au	au	12
aː	aː	70
aːi	aːi	17
aːu	aːu	22
d	d	2
e	e	34
eu	eu	5
f	f	5
h	h	6
i	i	69
iau	i/j au	1
iaːu	i/j aːu	1
ie	i/j e	41
ieu	i/j eu	1
iu	i/j u	6
j	j	73
k	k	63
kʰ	kʰ	2
l	l	7
m	m	64
mb	ⁿb	1
n	n	107
nd	ⁿd	1
o	o	51
oi	oi	2
p	p	27
q	q	3
s	s	1
t	t	52
ts	ts	1
u	u	93
ui	ui	16
uə	u/w ə	8
v	v	3
z	z	1
²	₂/⁴²	4
²$	₂/⁴²	65
³	₃/³³	14
³$	₃/³³	90
¹	₁/¹³	21
¹$	₁/¹³	158
ĩ	ĩ	1
ŋ	ŋ	73
ȵ	ȵ	2
ȶ	ȶ	1
ȶʰ	ȶʰ	2
ɕ	ɕ	1
ə	ə	52
ɿ	ɿ	1
ʁ	ʁ	1
ʔ	ʔ	1
ʔb	ˀb	2
ʔd	ˀd	2
ʔm	ˀm	2
ʔn	ˀn	1
ʔȵ	ˀȵ	2
ẽ	ẽ	1
⁰	⁰/³	2
⁴	₄/⁵³	10
⁴$	₄/⁵³	38
⁵	₅/³⁵	4
⁵$	₅/³⁵	81
⁶	₆/³⁴	2
⁶$	₆/³⁴	36
⁷	₇/⁴⁵	6
⁷$	₇/⁴⁵	92
⁸	₈/⁴³	6
⁸$	₈/⁴³	32
ⁿ	NULL	4
