Grapheme	IPA	Frequency
+	?+	70
<p>̃h	pʰ	11
<p>̃hw	pʰ w	3
^	NULL	13
^f	f	18
^h	h	57
^hw	h w	1
^h̃	h̃	2
^h̃w	h̃ w	1
^j	j	12
^k	k	21
^kw	k w	3
^kʰ	kʰ	10
^kʰw	kʰ w	1
^l	l	52
^lw	l w	2
^m	m	30
^n	n	33
^p	p	28
^pʰ	pʰ	11
^q	q	24
^qʰ	qʰ	4
^s	s	20
^t	t	47
^ts	ts	16
^tʰ	tʰ	5
^v	v	18
^z	z	5
^ŋ	ŋ	10
^ŋw	ŋ w	1
^ȵ	ȵ	10
^ȶ	ȶ	18
^ɕ	ɕ	7
^ɣ	ɣ	17
^ʁ	ʁ	5
^ʔ	ʔ	30
^ᵐb	ⁿb	19
^ⁿd	ⁿd	40
^ⁿdw	ⁿd w	1
a	a	167
ai	ai	21
au	au	16
aː	aː	96
aːi	aːi	21
aːu	aːu	20
d	d	1
dw	d w	1
e	e	43
eu	eu	4
f	f	1
h	h	11
i	i	61
iu	i/j u	9
j	j	125
k	k	61
kʰ	kʰ	3
l	l	7
m	m	70
mb	ⁿb	4
n	n	104
o	o	53
oi	oi	4
p	p	28
q	q	4
s	s	2
t	t	45
ts	ts	1
tsʰ	tsʰ	1
u	u	91
ui	ui	14
w	w	1
z	z	1
²	₂/²¹	2
²$	₂/²¹	57
³	₃/²²	23
³$	₃/²²	96
¹	₁/³²³	12
¹$	₁/³²³	164
õ	õ	1
ĩ	ĩ	2
ŋ	ŋ	71
ȵ	ȵ	3
ȶ	ȶ	2
ɕ	ɕ	3
ə	ə	37
əᵒ	ə ᵒ/¹	1
ɣ	ɣ	1
ʁ	ʁ	1
ʔ	ʔ	1
ᵐb	ⁿb	2
ẽ	ẽ	1
⁴	₄/⁴²	12
⁴$	₄/⁴²	41
⁵	₅/²⁵	5
⁵$	₅/²⁵	85
⁶	₆/⁴⁵	4
⁶$	₆/⁴⁵	34
⁷	₇/⁴⁵	4
⁷$	₇/⁴⁵	90
⁸	₈/³³	7
⁸$	₈/³³	25
ⁿ	NULL	2
