Grapheme	IPA	Frequency
+	?+	57
^<p>̥	NULL	1
^f	f	23
^h	h	25
^j	j	9
^k	k	19
^kw	k w	5
^kʰ	kʰ	10
^l	l	34
^m	m	21
^m̥	m̥	6
^n	n	16
^n̥	n̥	5
^p	p	20
^pʰ	pʰ	11
^q	q	31
^qʰ	qʰ	7
^s	s	23
^t	t	60
^ts	ts	25
^tsʰ	tsʰ	1
^tʰ	tʰ	5
^v	v	17
^x	x	8
^z	z	4
^ŋ	ŋ	6
^ŋw	ŋ w	1
^ŋ̊	ŋ̊	5
^ȵ	ȵ	6
^ȶ	ȶ	15
^ȶʰ	ȶʰ	3
^ɕ	ɕ	17
^ɣ	ɣ	16
^ɬ	ɬ	1
^ʁ	ʁ	6
^ʔ	ʔ	25
^ʔb	ˀb	15
^ʔd	ˀd	22
^ʔm	ˀm	7
^ʔn	ˀn	12
^ʔŋ	ˀŋ	5
^ʔŋwat	ˀŋ w a t	1
^ʔȵ	ˀȵ	7
^ʔɣ	ˀɣ	7
^ᵐb	ⁿb	7
^ᵐi	ᵐ/m i	1
^ⁿd	ⁿd	12
a	a	164
ai	ai	18
au	au	17
aː	aː	99
aːi	aːi	19
aːu	aːu	17
e	e	45
eu	eu	6
f	f	2
h	h	1
i	i	72
iu	i/j u	9
j	j	99
k	k	60
kʰ	kʰ	1
l	l	4
m	m	60
mb	ⁿb	1
n	n	105
o	o	61
oi	oi	3
p	p	29
q	q	1
qʰ	qʰ	1
s	s	1
t	t	46
ts	ts	4
u	u	64
ui	ui	8
v	v	1
x	x	1
z	z	1
²	₂/⁴¹	1
²$	₂/⁴¹	54
³	₃/³³	15
³$	₃/³³	88
¹	₁/²¹²	17
¹$	₁/²¹²	170
ã	ã	1
ŋ	ŋ	74
ŋw	ŋ w	1
ũ	ũ	1
ȵ	ȵ	1
ȶ	ȶ	1
ȶʰ	ȶʰ	1
ɕ	ɕ	1
ɘ	ɘ	1
ə	ə	32
ɪ	ɪ	1
ʁ	ʁ	4
ʔ	ʔ	2
ʔb	ˀb	3
ʔd	ˀd	4
ʔm	ˀm	1
ʔȵ	ˀȵ	2
⁴	₄/³¹	8
⁴$	₄/³¹	42
⁵	₅/³⁵	4
⁵$	₅/³⁵	75
⁶	₆/⁴⁵	4
⁶$	₆/⁴⁵	37
⁷	₇/⁵⁵	3
⁷$	₇/⁵⁵	90
⁸	₈/⁵⁴	5
⁸$	₈/⁵⁴	27
