Grapheme	IPA	Frequency
+	?+	77
<p>̃h	pʰ	2
<p>̃hw	pʰ w	4
<p>̥ȵaːŋ	p/ȵ̊ aː ŋ	1
<p>̩ŋ	p ŋ̍	1
^	NULL	7
^<p>̥	NULL	3
^f	f	10
^h	h	44
^h̃w	h̃ w	2
^j	j	20
^k	k	19
^kw	k w	3
^kʰ	kʰ	9
^l	l	64
^m	m	50
^n	n	33
^n̥	n̥	4
^p	p	40
^pʰ	pʰ	14
^q	q	27
^qʰ	qʰ	5
^s	s	23
^t	t	52
^ts	ts	5
^tsʰ	tsʰ	2
^tʰ	tʰ	7
^v	v	19
^x	x	4
^z	z	4
^ŋ	ŋ	13
^ŋw	ŋ w	2
^ŋ̊	ŋ̊	2
^ȵ	ȵ	11
^ȶ	ȶ	23
^ȶʰ	ȶʰ	6
^ɕ	ɕ	9
^ɣ	ɣ	18
^ʔ	ʔ	19
^ᵐb	ⁿb	4
^ⁿd	ⁿd	17
a	a	154
ai	ai	24
au	au	16
aː	aː	91
aːi	aːi	21
aːu	aːu	30
d	d	1
e	e	41
eu	eu	3
f	f	1
h	h	6
i	i	69
iu	i/j u	11
j	j	93
k	k	64
kw	kʷ	2
kʰ	kʰ	1
l	l	6
m	m	74
mb	ⁿb	1
n	n	107
n̥	n̥	1
o	o	45
oi	oi	4
p	p	28
q	q	3
s	s	2
t	t	53
u	u	87
ui	ui	12
v	v	1
z	z	2
²	₂/³¹	7
²$	₂/³¹	74
³	₃/³³	21
³$	₃/³³	87
¹	₁/²²	17
¹$	₁/²²	158
ã	ã	1
õi	õi	1
ĩ	ĩ	1
ŋ	ŋ	67
ŋw	ŋ w	1
ȵ	ȵ	5
ȶ	ȶ	1
ȶʰ	ȶʰ	2
ɕ	ɕ	1
ə	ə	53
ɛu	ɛu	1
ɣ	ɣ	3
ɿ	ɿ	1
ʊ	ʊ	3
⁴	₄/⁵¹	12
⁴$	₄/⁵¹	46
⁵	₅/³⁵	7
⁵$	₅/³⁵	77
⁶$	₆/²³	38
⁷	₇/⁴⁴	7
⁷$	₇/⁴⁴	82
⁸	₈/²²	6
⁸$	₈/²²	32
ⁿ	NULL	3
