Grapheme	IPA	Frequency
+	?+	61
^<p>̥	NULL	1
^f	f	20
^h	h	37
^j	j	14
^k	k	17
^kw	k w	5
^kʰ	kʰ	9
^kʰw	kʰ w	1
^l	l	47
^lw	l w	2
^m	m	22
^m̥	m̥	8
^n	n	18
^n̥	n̥	7
^p	p	26
^pʰ	pʰ	12
^q	q	21
^qʰ	qʰ	4
^s	s	24
^t	t	50
^ts	ts	20
^tsʰ	tsʰ	1
^tʰ	tʰ	5
^v	v	17
^z	z	4
^ŋ	ŋ	7
^ŋw	ŋ w	1
^ŋ̊	ŋ̊	2
^ȵ	ȵ	8
^ȵ̥	ȵ̥	2
^ȶ	ȶ	20
^ȶʰ	ȶʰ	3
^ɕ	ɕ	19
^ɣ	ɣ	11
^ʁ	ʁ	5
^ʔ	ʔ	31
^ʔb	ˀb	14
^ʔd	ˀd	19
^ʔm	ˀm	10
^ʔn	ˀn	14
^ʔw	ʔ w	2
^ʔŋ	ˀŋ	2
^ʔŋwa	ˀŋ w a	1
^ʔŋwat	ˀŋ w a t	1
^ʔȵ	ˀȵ	8
^ʔɣ	ˀɣ	7
^ᵐb	ⁿb	7
^ⁿd	ⁿd	20
a	a	155
ai	ai	22
au	au	14
aː	aː	106
aːi	aːi	22
aːu	aːu	21
d	d	3
e	e	43
eu	eu	3
f	f	2
h	h	3
i	i	62
iu	i/j u	10
j	j	100
k	k	62
kʰ	kʰ	2
l	l	7
m	m	65
mb	ⁿb	1
n	n	109
n̥	n̥	3
o	o	48
oi	oi	3
p	p	29
q	q	3
s	s	2
t	t	54
ts	ts	1
tsʰ	tsʰ	1
u	u	93
ui	ui	14
v	v	1
w	w	2
z	z	1
²	₂/³¹	4
²$	₂/³¹	62
³	₃/³³	13
³$	₃/³³	92
¹	₁/¹³	15
¹$	₁/¹³	170
ĩ	ĩ	1
ŋ	ŋ	71
ũ	ũ	2
ȵ	ȵ	1
ɕ	ɕ	3
ə	ə	43
ɣ	ɣ	3
ɪ	ɪ	2
ʁ	ʁ	1
ʔ	ʔ	1
ʔb	ˀb	2
ʔd	ˀd	2
ʔm	ˀm	2
ʔȵ	ˀȵ	2
ᵐb	ⁿb	1
ẽ	ẽ	1
⁰	⁰/³	1
⁴	₄/⁵³	10
⁴$	₄/⁵³	38
⁵	₅/³⁵	5
⁵$	₅/³⁵	81
⁶	₆/⁵⁵	2
⁶$	₆/⁵⁵	35
⁷	₇/⁵⁵	6
⁷$	₇/⁵⁵	96
⁸	₈/⁴⁴	5
⁸$	₈/⁴⁴	32
ⁿ	NULL	3
