Grapheme	IPA	Frequency
+	?+	89
<p>̃h	pʰ	12
<p>̃hw	pʰ w	1
^	NULL	13
^f	f	1
^h	h	70
^hw	h w	10
^h̃	h̃	2
^h̃w	h̃ w	2
^j	j	22
^k	k	29
^kw	k w	1
^kʰ	kʰ	11
^l	l	49
^m	m	39
^n	n	34
^p	p	26
^pʰ	pʰ	13
^q	q	22
^qʰ	qʰ	4
^s	s	16
^t	t	49
^tʰ	tʰ	2
^v	v	16
^ŋ	ŋ	11
^ŋw	ŋ w	2
^ȵ	ȵ	12
^ȶ	ȶ	33
^ɕ	ɕ	12
^ɣ	ɣ	16
^ʔ	ʔ	17
^ᵐb	ⁿb	15
^ⁿd	ⁿd	39
a	a	160
ai	ai	30
au	au	23
aː	aː	61
aːi	aːi	16
aːu	aːu	21
d	d	4
e	e	30
eu	eu	1
h	h	12
hw	h w	1
i	i	68
ia	i/j a	25
ie	i/j e	9
iu	i/j u	9
iə	i/j ə	14
iəu	i/j əu	6
j	j	72
juə	ju/ɥ ə	2
k	k	68
kʰ	kʰ	1
l	l	8
m	m	65
mb	ⁿb	2
n	n	107
o	o	49
oi	oi	5
p	p	25
pʰ	pʰ	1
q	q	4
s	s	1
t	t	48
tʰ	tʰ	1
u	u	65
ui	ui	14
uə	u/w ə	35
v	v	4
z	z	1
²	₂/⁴²	10
²$	₂/⁴²	65
³	₃/³²	22
³$	₃/³²	84
¹	₁/²¹	17
¹$	₁/²¹	158
ã	ã	2
ŋ	ŋ	79
ȵ	ȵ	2
ȶ	ȶ	2
ɕ	ɕ	3
ə	ə	32
ɣ	ɣ	3
ʔ	ʔ	1
ᵐb	ⁿb	1
⁴	₄/⁵²	8
⁴$	₄/⁵²	51
⁵	₅/²⁴	13
⁵$	₅/²⁴	81
⁶	₆/⁴⁴	5
⁶$	₆/⁴⁴	40
⁷	₇/⁴⁴	6
⁷$	₇/⁴⁴	84
⁸	₈/⁴²	8
⁸$	₈/⁴²	25
ⁿ	NULL	6
