Grapheme	IPA	Frequency
+	?+	70
<p>̃h	pʰ	12
<p>̃hw	pʰ w	4
^	NULL	14
^f	f	18
^h	h	55
^h̃	h̃	2
^h̃w	h̃ w	1
^j	j	22
^k	k	19
^kw	k w	5
^kʰ	kʰ	9
^l	l	48
^m	m	32
^n	n	35
^p	p	27
^pʰ	pʰ	12
^q	q	23
^qʰ	qʰ	4
^s	s	19
^sw	s w	1
^t	t	46
^ts	ts	17
^tsʰ	tsʰ	1
^tʰ	tʰ	4
^v	v	20
^z	z	5
^ŋ	ŋ	8
^ŋw	ŋ w	1
^ȵ	ȵ	11
^ȶ	ȶ	18
^ɕ	ɕ	7
^ɣ	ɣ	15
^ʁ	ʁ	4
^ʔ	ʔ	21
^ᵐb	ⁿb	21
^ⁿd	ⁿd	44
^ⁿdw	ⁿd w	1
a	a	158
ai	ai	23
au	au	19
aː	aː	101
aːi	aːi	22
aːu	aːu	20
dw	d w	1
e	e	40
eu	eu	4
f	f	1
h	h	9
i	i	63
iu	i/j u	9
j	j	111
jua	ju/ɥ a	1
k	k	62
kʰ	kʰ	3
l	l	8
m	m	66
mb	ⁿb	4
n	n	104
o	o	44
oi	oi	2
p	p	25
q	q	3
s	s	1
t	t	50
ts	ts	1
tsʰ	tsʰ	1
u	u	94
ua	u/w a	5
ui	ui	12
v	v	1
z	z	1
²	₂/³¹	4
²$	₂/³¹	59
³	₃/³³	17
³$	₃/³³	97
¹	₁/²³	11
¹$	₁/²³	167
ĩ	ĩ	1
ŋ	ŋ	74
ȵ	ȵ	3
ȶ	ȶ	1
ɔ	ɔ	1
ɕ	ɕ	3
ə	ə	40
ɣ	ɣ	1
ʁ	ʁ	2
ᵐ	m	1
ᵐb	ⁿb	1
ẽ	ẽ	1
⁰	₀/³	3
⁴	₄/⁴²	12
⁴$	₄/⁴²	38
⁵	₅/²⁴	7
⁵$	₅/²⁴	81
⁶	₆/⁴⁵⁴	5
⁶$	₆/⁴⁵⁴	33
⁷	₇/⁵⁵	5
⁷$	₇/⁵⁵	89
⁸	₈/⁴³	6
⁸$	₈/⁴³	26
