Grapheme	IPA	Frequency
+	?+	65
^<p>̥	NULL	1
^f	f	22
^h	h	28
^j	j	11
^k	k	15
^kw	k w	4
^kʰ	kʰ	7
^l	l	50
^m	m	27
^m̥	m̥	8
^n	n	20
^n̥	n̥	6
^p	p	27
^pʰ	pʰ	11
^q	q	21
^qʰ	qʰ	5
^s	s	21
^t	t	50
^ts	ts	22
^tsʰ	tsʰ	1
^tʰ	tʰ	4
^v	v	17
^x	x	4
^z	z	5
^ŋ	ŋ	7
^ŋw	ŋ w	1
^ŋ̊	ŋ̊	3
^ȵ	ȵ	7
^ȵ̥	ȵ̥	2
^ȶ	ȶ	18
^ȶʰ	ȶʰ	3
^ɕ	ɕ	21
^ɣ	ɣ	10
^ʁ	ʁ	4
^ʔ	ʔ	30
^ʔd	ˀd	20
^ʔm	ˀm	20
^ʔn	ˀn	14
^ʔw	ʔ w	1
^ʔŋ	ˀŋ	3
^ʔŋwa	ˀŋ w a	1
^ʔŋwat	ˀŋ w a t	1
^ʔȵ	ˀȵ	5
^ʔɣ	ˀɣ	7
^ᵐb	ⁿb	4
^ⁿd	ⁿd	17
a	a	131
au	au	14
aː	aː	79
aːi	aːi	23
aːu	aːu	21
d	d	2
e	e	37
eu	eu	5
eː	eː	2
f	f	4
h	h	3
i	i	72
iu	i/j u	9
iə	i/j ə	3
j	j	97
k	k	63
kʰ	kʰ	2
l	l	8
m	m	63
mb	ⁿb	1
n	n	102
n̥	n̥	3
o	o	52
oi	oi	3
p	p	26
q	q	3
s	s	1
t	t	55
ts	ts	1
tsʰ	tsʰ	1
u	u	97
ui	ui	14
v	v	1
z	z	1
²	₂/³¹	3
²$	₂/³¹	63
³	₃/³³	20
³$	₃/³³	81
¹	₁/¹³	14
¹$	₁/¹³	163
ĩ	ĩ	1
ŋ	ŋ	68
ȵ	ȵ	1
ȶ	ȶ	1
ɕ	ɕ	4
ə	ə	53
əi	əi	31
ɣ	ɣ	1
ɿ	ɿ	1
ʁ	ʁ	1
ʔd	ˀd	1
ʔm	ˀm	5
ʔn	ˀn	1
ʔȵ	ˀȵ	2
ẽ	ẽ	1
⁴	₄/⁵³	11
⁴$	₄/⁵³	38
⁵	₅/³⁵	4
⁵$	₅/³⁵	77
⁶	₆/²³	2
⁶$	₆/²³	38
⁷	₇/⁵⁵	4
⁷$	₇/⁵⁵	92
⁸	₈/³³	7
⁸$	₈/³³	34
ⁿ	NULL	2
