Grapheme	IPA	Frequency
+	?+	74
^<p>̥	NULL	1
^f	f	12
^h	h	33
^j	j	10
^k	k	14
^kw	k w	7
^kʰ	kʰ	5
^kʰw	kʰ w	1
^l	l	36
^m	m	24
^m̥	m̥	8
^n	n	15
^n̥	n̥	8
^p	p	20
^pʰ	pʰ	12
^q	q	34
^qʰ	qʰ	12
^s	s	23
^t	t	66
^ts	ts	18
^tsʰ	tsʰ	1
^tʰ	tʰ	4
^v	v	23
^x	x	7
^z	z	3
^ŋ	ŋ	5
^ŋw	ŋ w	1
^ŋ̊	ŋ̊	3
^ȵ	ȵ	5
^ȶ	ȶ	23
^ȶʰ	ȶʰ	4
^ɕ	ɕ	12
^ɣ	ɣ	14
^ʁ	ʁ	6
^ʔ	ʔ	31
^ʔb	ˀb	15
^ʔd	ˀd	22
^ʔm	ˀm	9
^ʔn	ˀn	12
^ʔŋ	ˀŋ	4
^ʔŋwat	ˀŋ w a t	1
^ʔȵ	ˀȵ	8
^ʔɣ	ˀɣ	6
^ᵐb	ⁿb	8
^ⁿd	ⁿd	9
a	a	169
ai	ai	21
au	au	18
aː	aː	100
aːi	aːi	22
aːu	aːu	19
d	d	1
e	e	52
eu	eu	6
f	f	2
h	h	4
i	i	57
iu	i/j u	9
j	j	105
k	k	59
kw	kʷ	1
kʰ	kʰ	2
l	l	5
m	m	68
mb	ⁿb	1
n	n	109
n̥	n̥	2
o	o	57
oi	oi	3
p	p	28
q	q	2
qʰ	qʰ	2
s	s	4
t	t	54
ts	ts	1
u	u	78
ui	ui	8
v	v	1
x	x	1
z	z	1
²	₂/⁵¹	4
²$	₂/⁵¹	50
³	₃/³³	17
³$	₃/³³	96
¹	₁/²¹²	23
¹$	₁/²¹²	169
ŋ	ŋ	76
ŋ̊	ŋ̊	1
ȵ	ȵ	2
ȶ	ȶ	2
ɕ	ɕ	1
ə	ə	48
ʁ	ʁ	2
ʔb	ˀb	3
ʔd	ˀd	4
ʔm	ˀm	2
ʔȵ	ˀȵ	3
ẽ	ẽ	1
⁴	₄/⁴²	12
⁴$	₄/⁴²	42
⁵	₅/²⁵	4
⁵$	₅/²⁵	84
⁶	₆/⁵⁵	5
⁶$	₆/⁵⁵	35
⁷	₇/⁴⁴	4
⁷$	₇/⁴⁴	91
⁸	₈/³³	5
⁸$	₈/³³	28
ⁿ	NULL	1
