Grapheme	IPA	Frequency
+	?+	63
^<p>̥	NULL	1
^f	f	12
^h	h	40
^j	j	9
^k	k	22
^kw	k w	8
^kʰ	kʰ	10
^kʰw	kʰ w	1
^l	l	36
^m	m	26
^m̥	m̥	8
^n	n	14
^n̥	n̥	7
^p	p	17
^pʰ	pʰ	9
^q	q	33
^qʰ	qʰ	10
^s	s	24
^t	t	43
^ts	ts	25
^tsʰ	tsʰ	1
^tʰ	tʰ	3
^v	v	25
^w	w	1
^x	x	4
^z	z	4
^ŋ	ŋ	8
^ŋw	ŋ w	2
^ŋ̊	ŋ̊	2
^ȵ	ȵ	6
^ȶ	ȶ	13
^ȶʰ	ȶʰ	2
^ɕ	ɕ	19
^ɣ	ɣ	14
^ʁ	ʁ	6
^ʔ	ʔ	25
^ʔb	ˀb	13
^ʔd	ˀd	20
^ʔm	ˀm	10
^ʔn	ˀn	12
^ʔw	ʔ w	2
^ʔŋ	ˀŋ	4
^ʔŋwat	ˀŋ w a t	1
^ʔȵ	ˀȵ	7
^ʔɣ	ˀɣ	7
^ᵐb	ⁿb	6
^ⁿd	ⁿd	17
^ⁿj	ⁿj	1
a	a	168
ai	ai	23
au	au	17
aː	aː	95
aːi	aːi	25
aːu	aːu	21
e	e	42
eu	eu	6
eː	eː	6
h	h	2
i	i	72
iu	i/j u	9
j	j	83
k	k	64
kw	kʷ	2
l	l	3
m	m	60
mb	ⁿb	1
n	n	95
nd	ⁿd	1
n̥	n̥	2
o	o	54
oi	oi	3
p	p	26
q	q	1
s	s	2
t	t	51
tsʰ	tsʰ	1
u	u	57
ui	ui	8
v	v	1
z	z	2
²	₂/⁴¹	3
²$	₂/⁴¹	49
³	₃/³³	15
³$	₃/³³	92
¹	₁/¹³	17
¹$	₁/¹³	174
ŋ	ŋ	77
ȵ	ȵ	1
ȶ	ȶ	3
ə	ə	46
ɣ	ɣ	1
ʁ	ʁ	2
ʔ	ʔ	2
ʔb	ˀb	3
ʔd	ˀd	6
ʔm	ˀm	2
ʔn	ˀn	1
ʔȵ	ˀȵ	2
⁰	₀/³	1
⁴	₄/⁵³	9
⁴$	₄/⁵³	39
⁵	₅/³⁴	7
⁵$	₅/³⁴	75
⁶	₆/⁵⁵	4
⁶$	₆/⁵⁵	39
⁷	₇/⁴⁴	3
⁷$	₇/⁴⁴	94
⁸	₈/⁴⁴	4
⁸$	₈/⁴⁴	28
