Grapheme	IPA	Frequency
^l	l	49
a	a	158
¹	¹/¹	21
+	?+	76
v	v	3
n	n	110
¹$	¹/¹	172
^z	z	6
ə	ə	44
t	t	52
⁷$	⁷/¹	90
^ʔ	ʔ	32
u	u	83
ʔb	ˀb	3
^f	f	18
³$	³/¹	82
^m	m	24
o	o	51
^ʔn	ˀn	16
ui	ui	15
^ȵ	ȵ	6
i	i	60
²$	²/¹	61
^kʰ	kʰ	10
aː	aː	106
ŋ	ŋ	75
⁵$	⁵/¹	80
m	m	65
^ʔb	ˀb	14
l	l	6
p	p	26
^q	q	20
³	³/¹	20
ʔȵ	ˀȵ	2
^ᵐb	ⁿb	6
e	e	42
^n	n	20
j	j	97
^v	v	15
^s	s	25
^ɕ	ɕ	21
ʔm	ˀm	3
^n̥	n̥	6
k	k	65
^kw	k w	5
^pʰ	pʰ	10
^k	k	19
^ⁿd	ⁿd	18
^t	t	48
^h	h	35
⁶	⁶/¹	3
't	t	1
⁶$	⁶/¹	36
^ʔm	ˀm	9
au	au	15
ai	ai	22
⁴$	⁴/¹	35
^ʔd	ˀd	19
^ŋ	ŋ	7
^j	j	11
aːu	aːu	22
⁴	⁴/¹	14
ⁿ	NULL	3
d	d	3
^ts	ts	19
^p	p	23
²	²/¹	3
⁸$	⁸/¹	32
^ɣ	ɣ	10
ɕ	ɕ	4
f	f	3
^ʔɣ	ˀɣ	5
aːi	aːi	19
^<p>̥	NULL	1
ȵ	ȵ	1
tsʰ	tsʰ	1
z	z	1
q	q	3
^ʔŋ	ˀŋ	2
ieu	i/j eu	6
^ʁ	ʁ	5
^m̥	m̥	8
⁵	⁵/¹	4
eu	eu	1
^ȶ	ȶ	16
^qʰ	qʰ	4
^ʔȵ	ˀȵ	7
^ŋw	ŋ w	1
ẽ	ẽ	1
kʰ	kʰ	2
ɿ	ɿ	2
uː	uː	6
^ȶʰ	ȶʰ	2
h	h	3
ȶ	ȶ	1
⁷	⁷/¹	5
ʔd	ˀd	1
w	w	2
iu	i/j u	5
ts	ts	1
ʔ	ʔ	1
n̥	n̥	3
pʰ	pʰ	1
ʁ	ʁ	1
ɣ	ɣ	3
^tsʰ	tsʰ	1
^lw	l w	3
ʔɣ	ˀɣ	1
⁸	⁸/¹	6
mb	ⁿb	1
^tʰ	tʰ	5
^ʔŋwa	ˀŋ w a	1
'p	p	1
^ŋ̊	ŋ̊	2
^ʔŋwat	ˀŋ w a t	1
^ʔw	ʔ w	2
oi	oi	2
s	s	1
nd	ⁿd	1
^ȵ̥	ȵ̥	1
ɜ	ɜ	1
ɪ	ɪ	1
