Grapheme	IPA	Frequency
+	?+	64
^<p>̥	NULL	1
^f	f	15
^h	h	32
^j	j	8
^k	k	19
^kw	k w	7
^kʰ	kʰ	3
^kʰw	kʰ w	1
^l	l	32
^m	m	23
^m̥	m̥	8
^n	n	14
^n̥	n̥	5
^p	p	18
^pʰ	pʰ	12
^q	q	33
^qʰ	qʰ	12
^s	s	26
^t	t	57
^ts	ts	27
^tsʰ	tsʰ	1
^tʰ	tʰ	5
^v	v	27
^x	x	7
^z	z	4
^ŋ	ŋ	5
^ŋw	ŋ w	1
^ŋ̊	ŋ̊	3
^ȵ	ȵ	7
^ȶ	ȶ	19
^ȶʰ	ȶʰ	4
^ɕ	ɕ	18
^ɣ	ɣ	13
^ʁ	ʁ	7
^ʔ	ʔ	33
^ʔb	ˀb	14
^ʔd	ˀd	21
^ʔm	ˀm	9
^ʔn	ˀn	14
^ʔw	ʔ w	2
^ʔŋ	ˀŋ	5
^ʔŋwat	ˀŋ w a t	1
^ʔȵ	ˀȵ	9
^ʔɣ	ˀɣ	5
^ᵐb	ⁿb	7
^ⁿd	ⁿd	10
a	a	162
ai	ai	22
au	au	16
aː	aː	105
aːi	aːi	22
aːu	aːu	20
d	d	1
e	e	47
eu	eu	5
h	h	2
i	i	57
iu	i/j u	11
j	j	112
k	k	59
kʰ	kʰ	1
l	l	4
m	m	64
mb	ⁿb	1
n	n	107
n̥	n̥	2
o	o	58
oi	oi	3
p	p	31
q	q	2
qʰ	qʰ	1
s	s	4
t	t	53
ts	ts	3
tsʰ	tsʰ	1
u	u	80
uei	u/w ei	1
ui	ui	7
v	v	1
x	x	1
z	z	1
²$	₂/⁵¹	52
³	₃/³³	15
³$	₃/³³	95
¹	₁/¹³	24
¹$	₁/¹³	177
ŋ	ŋ	76
ȵ	ȵ	2
ɐː	ɐː	1
ɕ	ɕ	1
ə	ə	49
əu	əu	1
ʁ	ʁ	2
ʔ	ʔ	1
ʔb	ˀb	2
ʔd	ˀd	5
ʔm	ˀm	3
ʔȵ	ˀȵ	2
ʔɣ	ˀɣ	1
⁴	₄/⁴²	9
⁴$	₄/⁴²	40
⁵	₅/²⁴	4
⁵$	₅/²⁴	82
⁶	₆/⁴⁵	3
⁶$	₆/⁴⁵	34
⁷	₇/⁴⁵	3
⁷$	₇/⁴⁵	97
⁸	₈/⁴⁴	6
⁸$	₈/⁴⁴	27
ⁿ	NULL	1
