Grapheme	IPA	Frequency
+	?+	70
^<p>̥	NULL	1
^f	f	20
^h	h	39
^j	j	8
^k	k	22
^kw	k w	2
^kʰ	kʰ	7
^kʰw	kʰ w	1
^l	l	47
^m	m	29
^m̥	m̥	7
^n	n	20
^n̥	n̥	6
^p	p	26
^pʰ	pʰ	12
^q	q	18
^qʰ	qʰ	4
^s	s	18
^t	t	48
^ts	ts	19
^tsʰ	tsʰ	2
^tʰ	tʰ	5
^v	v	19
^z	z	9
^ŋ	ŋ	7
^ŋw	ŋ w	2
^ŋ̊	ŋ̊	2
^ȵ	ȵ	7
^ȵ̥	ȵ̥	2
^ȶ	ȶ	21
^ȶʰ	ȶʰ	4
^ɕ	ɕ	18
^ɣ	ɣ	8
^ʁ	ʁ	4
^ʔ	ʔ	31
^ʔb	ˀb	14
^ʔd	ˀd	20
^ʔm	ˀm	8
^ʔn	ˀn	12
^ʔw	ʔ w	1
^ʔŋ	ˀŋ	2
^ʔŋwa	ˀŋ w a	1
^ʔŋwat	ˀŋ w a t	1
^ʔȵ	ˀȵ	7
^ʔɣ	ˀɣ	7
^ᵐb	ⁿb	3
^ⁿd	ⁿd	20
a	a	153
ai	ai	21
au	au	15
aː	aː	76
aːi	aːi	17
aːu	aːu	18
d	d	2
e	e	25
eu	eu	5
f	f	4
h	h	5
i	i	63
ia	i/j a	45
iau	i/j au	4
iu	i/j u	6
j	j	65
k	k	61
kʰ	kʰ	1
l	l	11
m	m	67
mb	ⁿb	1
n	n	111
n̥	n̥	1
o	o	43
oi	oi	4
p	p	24
q	q	3
s	s	1
t	t	57
ts	ts	1
u	u	91
ua	u/w a	20
ui	ui	11
uː	uː	6
v	v	1
z	z	1
²	₂/³¹	4
²$	₂/³¹	62
³	₃/³³	17
³$	₃/³³	91
¹	₁/²³	16
¹$	₁/²³	166
ĩ	ĩ	1
ŋ	ŋ	68
ȵ	ȵ	2
ȶ	ȶ	1
ȶʰ	ȶʰ	2
ɕ	ɕ	2
ə	ə	31
ɣ	ɣ	1
ɪ	ɪ	1
ɿ	ɿ	2
ʁ	ʁ	2
ʔ	ʔ	1
ʔb	ˀb	2
ʔd	ˀd	2
ʔm	ˀm	2
ʔn	ˀn	1
ʔȵ	ˀȵ	2
ẽ	ẽ	1
⁴	₄/⁵²	9
⁴$	₄/⁵²	37
⁵	₅/²⁵	8
⁵$	₅/²⁵	81
⁶	₆/³⁴	1
⁶$	₆/³⁴	35
⁷	₇/⁵⁵	7
⁷$	₇/⁵⁵	89
⁸	₈/²²	8
⁸$	₈/²²	30
ⁿ	NULL	4
