Grapheme	IPA	Frequency
+	?+	78
<p>̃h	pʰ	2
<p>̃hw	pʰ w	3
^	NULL	5
^<p>̥	NULL	2
^f	f	11
^h	h	36
^h̃w	h̃ w	1
^j	j	16
^k	k	24
^kw	k w	5
^kʰ	kʰ	18
^l	l	55
^m	m	48
^m̥	m̥	1
^n	n	34
^n̥	n̥	4
^p	p	49
^pʰ	pʰ	15
^q	q	29
^qʰ	qʰ	8
^s	s	16
^t	t	70
^ts	ts	11
^tsʰ	tsʰ	1
^tʰ	tʰ	8
^v	v	8
^z	z	2
^ŋ	ŋ	12
^ŋw	ŋ w	2
^ŋ̊	ŋ̊	1
^ȵ	ȵ	13
^ȶ	ȶ	27
^ȶʰ	ȶʰ	5
^ɕ	ɕ	5
^ɣ	ɣ	16
^ʁ	ʁ	1
^ʔ	ʔ	18
^ᵐb	ⁿb	1
^ⁿd	ⁿd	5
a	a	166
ai	ai	23
au	au	18
aː	aː	83
aːi	aːi	21
aːu	aːu	27
e	e	36
eu	eu	5
eː	eː	1
f	f	1
h	h	5
i	i	56
iu	i/j u	10
j	j	82
k	k	63
kw	kʷ	2
kʰ	kʰ	4
l	l	8
m	m	69
n	n	110
n̥	n̥	4
o	o	47
oi	oi	4
p	p	30
q	q	4
s	s	2
t	t	56
u	u	93
ui	ui	12
uː	uː	3
v	v	1
z	z	1
²	₂/⁴¹	6
²$	₂/⁴¹	67
³	₃/³³	17
³$	₃/³³	84
¹	₁/²¹²	13
¹$	₁/²¹²	154
ã	ã	1
õ	õ	4
ŋ	ŋ	69
ŋw	ŋ w	1
ũi	ũi	1
ȵ	ȵ	4
ȶ	ȶ	2
ȶʰ	ȶʰ	1
ɕ	ɕ	1
ə	ə	46
ɣ	ɣ	3
ɿ	ɿ	2
ẽ	ẽ	2
⁰	₀/³	5
⁴	₄/⁵²	13
⁴$	₄/⁵²	42
⁵	₅/²⁴	8
⁵$	₅/²⁴	82
⁶	₆/²³	2
⁶$	₆/²³	36
⁷	₇/⁵⁵	6
⁷$	₇/⁵⁵	85
⁸	₈/³²	8
⁸$	₈/³²	33
