LEXEME,REPLACEMENT,Note
to⁶sje³,to⁶ sje³,correct segmentation
ha³vi¹,ha³ vi¹,correct segmentation
pu⁵ᵐbin³,pu⁵ ᵐbin³,correct segmentation
tsə⁰nau²,tsə⁰ nau²,correct segmentation
lə⁴ŋo³,lə⁴ ŋo³,correct segmentation
pai⁶ ',pai⁶,
ⁿdjoŋ <p>̃³ hu¹,ⁿdjoŋ³ hu¹,
pəi⁶ ',pəi⁶,
ȵon⁶ ',ȵon⁶,
ȵon⁶.,ȵon⁶,
