Grapheme	IPA
$	NULL
'p	p
't	t
<p>	NULL
<p>̃h	pʰ
<p>̃hw	pʰ w
<p>̃²_	p
<p>̃³_hu¹	pʰ u ³/¹
<p>̥	p
<p>̥ȵaːŋ	p/ȵ̊ aː ŋ
<p>̥ȵiaŋ	p/ȵ̊ i/j a ŋ
<p>̥ȵieŋ	p/ȵ̊ i/j e ŋ
<p>̥ȵiəŋ	p/ȵ̊ i/j e ŋ
<p>̩ŋ	p ŋ̍
^	NULL
^<p>̥	NULL
^f	f
^h	h
^hw	h w
^h̃	h̃
^h̃w	h̃ w
^j	j
^jw	ɥ
^k	k
^kw	k w
^kʰ	kʰ
^kʰw	kʰ w
^l	l
^lw	l w
^m	m
^mb	ⁿb
^m̥	m̥
^n	n
^nd	ⁿd
^n̥	n̥
^p	p
^pʰ	pʰ
^q	q
^qʰ	qʰ
^s	s
^sw	s w
^t	t
^ts	ts
^tsʰ	tsʰ
^tʰ	tʰ
^v	v
^w	w
^x	x
^z	z
^ŋ	ŋ
^ŋw	ŋ w
^ŋ̊	ŋ̊
^ȵ	ȵ
^ȵ̥	ȵ̥
^ȶ	ȶ
^ȶʰ	ȶʰ
^ɕ	ɕ
^ɣ	ɣ
^ɬ	ɬ
^ʁ	ʁ
^ʔ	ʔ
^ʔb	ˀb
^ʔd	ˀd
^ʔm	ˀm
^ʔn	ˀn
^ʔŋ	ˀŋ
^ʔw	ʔ w
^ʔŋwa	ˀŋ w a
^ʔŋwat	ˀŋ w a t
^ʔȵ	ˀȵ
^ʔɣ	ˀɣ
^ᵐb	ⁿb
^ᵐi	ᵐ/m i
^ⁿd	ⁿd
^ⁿdw	ⁿd w
^ⁿj	ⁿj
_	+
_'$	NULL
_ᵐb	+ ⁿb
a	a
ai	ai
au	au
ay	ay
aəi	aəi/ai
aɪ	aɪ
aː	aː
aːi	aːi
aːu	aːu
aːy	aːy
aːɪ	aːɪ
ãĩ	ãi
ãũ	ãu
ãỹ	ãy
ãɪ̃	ãɪ
a̱i	a̱i
a̱u	a̱u
a̱y	a̱y
a̱ɪ	a̱ɪ
a̱ːi	a̱ːi
a̱ːu	a̱ːu
a̱ːy	a̱ːy
a̱ːɪ	a̱ːɪ
ã̱ĩ	ã̱i
ã̱ũ	ã̱u
ã̱ỹ	ã̱y
ã̱ɪ̃	ã̱ɪ
b	b
d	d
d^ʑɦ	dʑʱ
dw	d w
dʑɦ	dʑʱ
e	e
ei	ei
eu	eu
ey	ey
eɪ	eɪ
eː	eː
eːi	eːi
eːu	eːu
eːy	eːy
eːɪ	eːɪ
ẽĩ	ẽi
ẽũ	ẽu
ẽỹ	ẽy
ẽɪ̃	ẽɪ
f	f
h	h
hw	h w
i	i
ia	i/j a
iai	i/j ai
iau	i/j au
iay	i/j ay
iaɪ	i/j aɪ
iaːi	i/j aːi
iaːu	i/j aːu
iaːy	i/j aːy
iaːɪ	i/j aːɪ
iãĩ	i/j ãi
iãũ	i/j ãu
iãỹ	i/j ãy
iãɪ̃	i/j ãɪ
ia̱i	i/j a̱i
ia̱u	i/j a̱u
ia̱y	i/j a̱y
ia̱ɪ	i/j a̱ɪ
ia̱ːi	i/j a̱ːi
ia̱ːu	i/j a̱ːu
ia̱ːy	i/j a̱ːy
ia̱ːɪ	i/j a̱ːɪ
iã̱ĩ	i/j ã̱i
iã̱ũ	i/j ã̱u
iã̱ỹ	i/j ã̱y
iã̱ɪ̃	i/j ã̱ɪ
ie	i/j e
iei	i/j ei
ieu	i/j eu
iey	i/j ey
ieɪ	i/j eɪ
ieːi	i/j eːi
ieːu	i/j eːu
ieːy	i/j eːy
ieːɪ	i/j eːɪ
iẽĩ	i/j ẽi
iẽũ	i/j ẽu
iẽỹ	i/j ẽy
iẽɪ̃	i/j ẽɪ
ioi	i/j oi
iou	i/j ou
ioy	i/j oy
ioɪ	i/j oɪ
ioːi	i/j oːi
ioːu	i/j oːu
ioːy	i/j oːy
ioːɪ	i/j oːɪ
iõĩ	i/j õi
iõũ	i/j õu
iõỹ	i/j õy
iõɪ̃	i/j õɪ
iu	i/j u
iăi	i/j ăi
iău	i/j ău
iăy	i/j ăy
iăɪ	i/j ăɪ
iăːi	i/j ăːi
iăːu	i/j ăːu
iăːy	i/j ăːy
iăːɪ	i/j ăːɪ
iẵĩ	i/j ẵi
iẵũ	i/j ẵu
iẵỹ	i/j ẵy
iẵɪ̃	i/j ẵɪ
iɐi	i/j ɐi
iɐu	i/j ɐu
iɐy	i/j ɐy
iɐɪ	i/j ɐɪ
iɐːi	i/j ɐːi
iɐːu	i/j ɐːu
iɐːy	i/j ɐːy
iɐːɪ	i/j ɐːɪ
iɐ̃ĩ	i/j ɐ̃i
iɐ̃ũ	i/j ɐ̃u
iɐ̃ỹ	i/j ɐ̃y
iɐ̃ɪ̃	i/j ɐ̃ɪ
iɑi	i/j ɑi
iɑu	i/j ɑu
iɑy	i/j ɑy
iɑɪ	i/j ɑɪ
iɑːi	i/j ɑːi
iɑːu	i/j ɑːu
iɑːy	i/j ɑːy
iɑːɪ	i/j ɑːɪ
iɑ̃ĩ	i/j ɑ̃i
iɑ̃ũ	i/j ɑ̃u
iɑ̃ỹ	i/j ɑ̃y
iɑ̃ɪ̃	i/j ɑ̃ɪ
iɔi	i/j ɔi
iɔu	i/j ɔu
iɔy	i/j ɔy
iɔɪ	i/j ɔɪ
iɔːi	i/j ɔːi
iɔːu	i/j ɔːu
iɔːy	i/j ɔːy
iɔːɪ	i/j ɔːɪ
iɔ̃ĩ	i/j ɔ̃i
iɔ̃ũ	i/j ɔ̃u
iɔ̃ỹ	i/j ɔ̃y
iɔ̃ɪ̃	i/j ɔ̃ɪ
iə	i/j ə
iəi	i/j əi
iəu	i/j əu
iəy	i/j əy
iəɪ	i/j əɪ
iəːi	i/j əːi
iəːu	i/j əːu
iəːy	i/j əːy
iəːɪ	i/j əːɪ
iə̃ĩ	i/j ə̃i
iə̃ũ	i/j ə̃u
iə̃ỹ	i/j ə̃y
iə̃ɪ̃	i/j ə̃ɪ
iɛi	i/j ɛi
iɛu	i/j ɛu
iɛy	i/j ɛy
iɛɪ	i/j ɛɪ
iɛːi	i/j ɛːi
iɛːu	i/j ɛːu
iɛːy	i/j ɛːy
iɛːɪ	i/j ɛːɪ
iɛ̃ĩ	i/j ɛ̃i
iɛ̃ũ	i/j ɛ̃u
iɛ̃ỹ	i/j ɛ̃y
iɛ̃ɪ̃	i/j ɛ̃ɪ
iɤi	i/j ɤi
iɤu	i/j ɤu
iɤy	i/j ɤy
iɤɪ	i/j ɤɪ
iɤːi	i/j ɤːi
iɤːu	i/j ɤːu
iɤːy	i/j ɤːy
iɤːɪ	i/j ɤːɪ
iɤ̃ĩ	i/j ɤ̃i
iɤ̃ũ	i/j ɤ̃u
