# Wordlist

# DATA
ID	DOCULECT	DOCULECTID	GLOTTOCODE	CONCEPT	GLOSSID	VALUE	FORM	PHONETIC	CONCEPTICON_ID	CONCEPTICON_GLOSS
#
7153	Sandong	SD	sand1270	1PL; we(excl.)	463	ȶin¹ ⁿdiu¹	ȶin¹ ⁿdiu¹	ȶin¹ diu¹	1130	WE (EXCLUSIVE)
7162	Zhonghe	ZH	sand1270	1PL; we(excl.)	463	ȶən¹ ⁿdieu¹	ȶən¹ ⁿdieu¹	ȶɪn¹ ⁿdieu¹	1130	WE (EXCLUSIVE)
7171	Tingpai	TP	sand1270	1PL; we(excl.)	463	ȶan¹ ⁿdiau¹	ȶan¹ ⁿdiau¹	ȶɛn¹ ⁿdiːɛu¹	1130	WE (EXCLUSIVE)
7180	Antang	AT	sand1270	1PL; we(excl.)	463				1130	WE (EXCLUSIVE)
7189	Tangzhou	TZ	sand1270	1PL; we(excl.)	463	ȶən¹ ⁿdiu¹	ȶən¹ ⁿdiu¹	tɕen¹ ⁿdiu¹	1130	WE (EXCLUSIVE)
7198	Dujiang	DJ	sand1270	1PL; we(excl.)	463				1130	WE (EXCLUSIVE)
7207	Sanjiang	SJ	sand1270	1PL; we(excl.)	463	ⁿdiu¹	ⁿdiu¹	ⁿdiu¹	1130	WE (EXCLUSIVE)
7216	Renli	RL	sand1270	1PL; we(excl.)	463	ⁿdiu¹	ⁿdiu¹	ⁿdiu¹	1130	WE (EXCLUSIVE)
7225	Juqian	JQ	sand1270	1PL; we(excl.)	463	ȶən¹ ⁿdəu¹	ȶən¹ ⁿdəu¹	tɕɪn¹ ⁿdiu¹	1130	WE (EXCLUSIVE)
7234	Shuiyao	SY	sand1270	1PL; we(excl.)	463	ⁿdiu¹	ⁿdiu¹	ⁿdiu¹	1130	WE (EXCLUSIVE)
7243	Jiarong	JR	sand1270	1PL; we(excl.)	463	ⁿdjeu¹	ⁿdjeu¹	ⁿdieu¹	1130	WE (EXCLUSIVE)
7252	Shuiwei	SW	sand1270	1PL; we(excl.)	463	ȶən¹ ⁿdiu¹	ȶən¹ ⁿdiu¹	tɕɪn¹ ⁿdiu¹	1130	WE (EXCLUSIVE)
7261	Pandong	PD	pand1262	1PL; we(excl.)	463	ho³ ⁿdiəu¹	ho³ ⁿdiəu¹	ho³ diəu¹	1130	WE (EXCLUSIVE)
7270	Jiaoli	JL	pand1262	1PL; we(excl.)	463				1130	WE (EXCLUSIVE)
7279	Tangnian	TN	anya1244	1PL; we(excl.)	463	ⁿdiu¹	ⁿdiu¹	ⁿdiu¹	1130	WE (EXCLUSIVE)
7288	Banliang	BL	anya1244	1PL; we(excl.)	463				1130	WE (EXCLUSIVE)
#
7152	Sandong	SD	sand1270	1PL; we(incl.)	462	ȶin¹ ⁿdaːu¹	ȶin¹ ⁿdaːu¹	ȶin¹ daːu¹	1131	WE (INCLUSIVE)
7161	Zhonghe	ZH	sand1270	1PL; we(incl.)	462	ȶən¹ ⁿdaːu¹	ȶən¹ ⁿdaːu¹	ȶɪn¹ ⁿdaːu¹	1131	WE (INCLUSIVE)
7170	Tingpai	TP	sand1270	1PL; we(incl.)	462	ȶan¹ ⁿdaːu¹	ȶan¹ ⁿdaːu¹	ȶɛn¹ ⁿdaːu¹	1131	WE (INCLUSIVE)
