ID	Number_in_source	Group	Chinese_name	Name	Location	Glottolog	Latitude	Longitude
SD	1	Sandong, Western	三洞乡水根村	Sandong	Shuigen village, Sandong district, Sandu county	sand1270	25.983	107.87
ZH	2	Sandong, Western	中和镇中和村和寨	Zhonghe	Hezhai village, Zhonghe township, Sandu county	sand1270	25.983	107.87
TP	5	Sandong, Western	塘州乡枚育村	Tingpai	Xinyang village, Tingpai township, Sandu county	sand1270	25.983	107.87
AT	4	Sandong, Western	廷牌镇新仰村	Antang	Antang village, Tangzhou district, Sandu county	sand1270	25.983	107.87
TZ	3	Sandong, Western	塘州乡安塘村	Tangzhou	Meiyu village, Tangzhou district, Sandu county	sand1270	25.983	107.87
DJ	6	Sandong, Eastern	都江镇怎累村上村	Dujiang	Upper Zenlei village, Dujiang township, Sandu county	sand1270	25.983	107.87
SJ	7	Sandong, Eastern	榕江县三江水族乡故衣村上寨	Sanjiang	Upper Guyi village, Sanjiang Sui district, Rongjiang county	sand1270	25.932	108.522
RL	8	Sandong, Eastern	榕江县仁里水族乡党民村	Renli	Dangmin village, Renli Sui district, Rongjiang county	sand1270	25.932	108.522
JQ	9	Sandong, Southern	九阡镇姑偿村	Jiuqian	Guchang village, Jiuqian township, Sandu county	sand1270	25.983	107.87
SY	10	Sandong, Southern	荔波县水尧水族乡水尧村	Shuiyao	Shuiyao village, Shuiyao Sui district, Libo county	sand1270	25.411	107.888
JR	11	Sandong, Southern	荔波县佳荣镇拉亮村	Jiarong	Laliang village, Jiarong township, Libo county	sand1270	25.411	107.888
SW	12	Sandong, Southern	榕江县水尾水族乡水尾村	Shuiwei	Shuiwei village, Shuiwei Sui district, Rongjiang county	sand1270	25.932	108.522
PD	15	Pandong	都匀市阳和水族乡潘洞村	Pandong	Pandong village, Yanghe Sui district, Duyun municipality	pand1262	26.258333	107.515278
JL	16	Pandong	交梨乡高戎村	Jiaoli	Gaorong village, Jiaoli district, Sandu county	pand1262	25.983	107.87
TN	13	Yang’an	独山县本寨水族乡塘联村塘年寨	Tangnian	Tangnian, Tanglian village, Benzhai Sui district, Dushan county	anya1244	25.47522	107.42758
BL	14	Yang’an	塘州乡板良村	Banliang	Banliang village, Tangzhou district, Sandu county	anya1244	25.983	107.87
